hit_id	length	cysteine_content	pfam_query_accession	pfam_query_name
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043145.1.p1	1895	0.02	-	VOG07156
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01033431.1.p1	3659	0.06	-	VOG07156
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01000504.1.p1	774	0.02	-	VOG07287
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01004365.1.p1	124	0.01	-	VOG07295
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01000529.1.p1	380	0.02	-	VOG07598
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01015167.1.p1	244	0.02	-	VOG07748
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01008051.1.p1	237	0.02	-	VOG07748
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01057991.1.p1	250	0.02	-	VOG07748
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01044654.1.p1	274	0.01	-	VOG07748
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01001791.1.p1	257	0.02	-	VOG07748
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01029909.1.p1	235	0.02	-	VOG07748
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032462.1.p2	219	0.02	-	VOG07748
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032464.1.p2	219	0.02	-	VOG07748
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032465.1.p2	219	0.02	-	VOG07748
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032466.1.p2	219	0.02	-	VOG07748
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032467.1.p2	219	0.02	-	VOG07748
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032463.1.p2	136	0.01	-	VOG07748
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01034233.1.p1	153	0.01	-	VOG07748
Dendroaspis_polylepis_GHPD01.transdecoder.pep_id_GHPD01004009.1.p1	109	0.03	-	VOG07748
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01008045.1.p1	130	0.02	-	VOG07748
Dendroaspis_polylepis_GHPD01.transdecoder.pep_id_GHPD01003279.1.p1	124	0.02	-	VOG07748
Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01017611.1.p1	139	0.01	-	VOG07748
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01030055.1.p1	4786	0.02	-	VOG16395
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01030056.1.p1	4736	0.02	-	VOG16395
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01049476.1.p1	1595	0.02	-	VOG16395
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01002242.1.p1	861	0.02	-	VOG16395
